team_name,player_name,11-10-24,12-10-24,13-10-24,14-10-24,15-10-24,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,Lanzamientos Totales
MOC,Irving Machuca,0,10P 6S 4B<br>0ER 0H,18P 11S 7B<br>0ER 1H,0,19P 12S 7B<br>1ER 2H,17P 8S 9B<br>0ER 1H,0,0,19P 11S 8B<br>2ER 2H,0,25P 15S 10B<br>0ER 0H,0,108
HER,A.J. Puckett,0,15P 10S 5B<br>0ER 1H,0,0,33P 23S 10B<br>0ER 1H,0,0,0,0,32P 18S 14B<br>0ER 0H,27P 18S 9B<br>0ER 1H,0,107
MTY,Matt Turner,21P 10S 11B<br>0ER 0H,0,18P 14S 4B<br>1ER 2H,0,19P 12S 7B<br>0ER 1H,0,0,16P 10S 6B<br>0ER 2H,8P 7S 1B<br>0ER 0H,0,23P 14S 9B<br>1ER 2H,0,105
NAV,Esteban Bloch,0,4P 2S 2B<br>1ER 0H,22P 11S 11B<br>2ER 1H,0,0,16P 9S 7B<br>0ER 0H,0,0,22P 13S 9B<br>0ER 0H,23P 15S 8B<br>1ER 3H,6P 4S 2B<br>0ER 1H,8P 5S 3B<br>0ER 1H,101
MTY,Austin Hansen,15P 9S 6B<br>0ER 1H,0,0,25P 18S 7B<br>0ER 1H,15P 8S 7B<br>0ER 0H,0,0,19P 7S 12B<br>0ER 0H,17P 12S 5B<br>0ER 1H,0,8P 3S 5B<br>1ER 1H,0,99
OBR,Zach Willeman,0,22P 14S 8B<br>0ER 1H,0,0,0,0,9P 7S 2B<br>0ER 0H,0,30P 20S 10B<br>0ER 1H,11P 8S 3B<br>0ER 1H,25P 18S 7B<br>0ER 2H,0,97
CUL,Stephen Nogosek,0,18P 14S 4B<br>0ER 1H,0,0,0,16P 11S 5B<br>0ER 1H,0,17P 13S 4B<br>0ER 1H,8P 8S 0B<br>0ER 1H,0,15P 9S 6B<br>0ER 1H,20P 12S 8B<br>0ER 1H,94
NAV,Charlie Hasty,0,26P 17S 9B<br>3ER 4H,0,0,11P 8S 3B<br>0ER 0H,10P 8S 2B<br>0ER 0H,11P 7S 4B<br>0ER 0H,0,0,18P 13S 5B<br>0ER 1H,18P 12S 6B<br>0ER 0H,0,94
JAL,Trevor Clifton,0,19P 12S 7B<br>1ER 2H,0,0,7P 4S 3B<br>0ER 1H,0,11P 8S 3B<br>0ER 0H,0,0,13P 8S 5B<br>0ER 0H,0,43P 21S 22B<br>0ER 2H,93
MXC,Trevor Kuncl,30P 16S 14B<br>4ER 2H,0,12P 8S 4B<br>0ER 0H,10P 7S 3B<br>0ER 0H,0,0,0,0,14P 9S 5B<br>0ER 0H,0,26P 16S 10B<br>0ER 1H,0,92
OBR,Felipe Gonzalez,0,17P 10S 7B<br>0ER 0H,0,0,7P 7S 0B<br>0ER 0H,18P 10S 8B<br>1ER 1H,0,0,0,21P 11S 10B<br>0ER 1H,29P 18S 11B<br>2ER 2H,0,92
NAV,Esteban Haro,0,12P 8S 4B<br>0ER 0H,14P 10S 4B<br>0ER 0H,0,16P 9S 7B<br>0ER 1H,0,18P 9S 9B<br>0ER 1H,0,0,22P 13S 9B<br>1ER 2H,9P 5S 4B<br>2ER 3H,0,91
HER,Ricky Karcher,0,32P 17S 15B<br>1ER 1H,0,0,0,0,13P 11S 2B<br>0ER 1H,0,10P 8S 2B<br>0ER 0H,23P 15S 8B<br>0ER 2H,13P 11S 2B<br>0ER 1H,0,91
GSV,Victor Buelna,0,0,12P 9S 3B<br>0ER 0H,0,0,0,27P 19S 8B<br>0ER 2H,0,0,17P 13S 4B<br>1ER 2H,0,35P 22S 13B<br>1ER 1H,91
MAZ,J.P. Woodward,0,14P 7S 7B<br>0ER 1H,27P 14S 13B<br>0ER 1H,0,0,6P 4S 2B<br>0ER 0H,0,0,0,22P 13S 9B<br>1ER 2H,13P 9S 4B<br>3ER 3H,9P 1S 8B<br>0ER 0H,91
CUL,Sasagi Sanchez,0,9P 8S 1B<br>0ER 1H,0,0,0,11P 6S 5B<br>0ER 0H,0,14P 12S 2B<br>0ER 0H,25P 17S 8B<br>2ER 2H,0,16P 11S 5B<br>1ER 2H,16P 12S 4B<br>0ER 0H,91
NAV,Carlos Bustamante,0,25P 12S 13B<br>0ER 0H,0,0,21P 14S 7B<br>0ER 0H,0,9P 6S 3B<br>0ER 0H,0,0,9P 5S 4B<br>0ER 0H,26P 17S 9B<br>0ER 0H,0,90
MTY,Norman Elenes,9P 6S 3B<br>0ER 0H,0,0,11P 7S 4B<br>0ER 0H,0,0,0,16P 12S 4B<br>0ER 2H,10P 7S 3B<br>0ER 0H,20P 7S 13B<br>1ER 1H,0,23P 8S 15B<br>1ER 0H,89
OBR,Edwin Fierro,0,8P 5S 3B<br>0ER 0H,0,0,0,13P 9S 4B<br>0ER 1H,22P 16S 6B<br>1ER 3H,0,9P 5S 4B<br>0ER 0H,12P 8S 4B<br>0ER 0H,18P 11S 7B<br>0ER 0H,5P 4S 1B<br>0ER 1H,87
OBR,Daniel De La Fuente,22P 14S 8B<br>0ER 1H,0,0,0,9P 7S 2B<br>0ER 0H,0,0,36P 21S 15B<br>0ER 0H,0,0,0,20P 12S 8B<br>0ER 1H,87
MXC,Jesus Cruz,0,0,14P 9S 5B<br>0ER 1H,14P 10S 4B<br>0ER 0H,0,0,0,9P 8S 1B<br>0ER 0H,31P 19S 12B<br>0ER 0H,0,18P 9S 9B<br>0ER 0H,0,86
GSV,Ivan Izaguirre,0,0,18P 12S 6B<br>1ER 2H,0,0,0,29P 19S 10B<br>0ER 0H,0,0,16P 10S 6B<br>0ER 0H,0,23P 14S 9B<br>2ER 2H,86
MAZ,Demetrio Gutierrez,0,0,0,0,11P 5S 6B<br>0ER 0H,0,26P 15S 11B<br>0ER 1H,0,2P 1S 1B<br>0ER 0H,12P 6S 6B<br>0ER 0H,8P 7S 1B<br>0ER 0H,24P 16S 8B<br>0ER 0H,83
CUL,Fernando Olguin,0,0,0,0,13P 9S 4B<br>0ER 0H,0,15P 10S 5B<br>0ER 1H,0,23P 13S 10B<br>0ER 0H,0,0,31P 18S 13B<br>0ER 0H,82
MXC,Jose Isidro Marquez,14P 11S 3B<br>0ER 0H,0,0,13P 6S 7B<br>0ER 2H,25P 13S 12B<br>0ER 3H,0,0,0,0,13P 10S 3B<br>1ER 1H,0,16P 7S 9B<br>0ER 0H,81
HER,Tayron Guerrero,0,0,0,0,22P 11S 11B<br>2ER 2H,0,0,0,10P 8S 2B<br>0ER 0H,18P 10S 8B<br>0ER 0H,30P 22S 8B<br>0ER 1H,0,80
GSV,Fabian Anguamea,0,7P 3S 4B<br>0ER 0H,0,0,17P 11S 6B<br>0ER 0H,18P 12S 6B<br>0ER 1H,0,0,13P 8S 5B<br>0ER 0H,0,22P 16S 6B<br>0ER 0H,0,77
MOC,Fabian Cota,0,3P 2S 1B<br>0ER 0H,9P 7S 2B<br>0ER 0H,0,4P 3S 1B<br>0ER 0H,11P 7S 4B<br>0ER 0H,0,0,33P 20S 13B<br>0ER 2H,0,11P 9S 2B<br>0ER 0H,5P 3S 2B<br>0ER 0H,76
MOC,Luis Gastelum,0,22P 12S 10B<br>1ER 1H,0,0,14P 7S 7B<br>0ER 1H,0,0,13P 11S 2B<br>0ER 1H,3P 3S 0B<br>0ER 1H,0,0,23P 17S 6B<br>0ER 1H,75
JAL,Isaac Jimenez,0,0,10P 7S 3B<br>0ER 2H,0,22P 8S 14B<br>4ER 2H,0,0,9P 5S 4B<br>0ER 0H,0,12P 9S 3B<br>0ER 0H,0,21P 11S 10B<br>0ER 1H,74
NAV,Francisco Haro,0,0,18P 12S 6B<br>1ER 1H,0,9P 7S 2B<br>0ER 0H,0,12P 9S 3B<br>1ER 2H,0,0,0,17P 12S 5B<br>0ER 1H,16P 9S 7B<br>1ER 3H,72
OBR,Juan Robles,8P 7S 1B<br>0ER 2H,3P 2S 1B<br>0ER 0H,0,0,0,16P 8S 8B<br>0ER 0H,0,21P 15S 6B<br>0ER 1H,0,9P 5S 4B<br>0ER 1H,0,15P 10S 5B<br>0ER 1H,72
JAL,Cristian Alvarado,0,16P 11S 5B<br>0ER 0H,0,0,24P 19S 5B<br>0ER 1H,0,13P 9S 4B<br>0ER 0H,0,0,14P 9S 5B<br>0ER 0H,5P 4S 1B<br>0ER 0H,0,72
MTY,Mario Perez,13P 7S 6B<br>0ER 0H,0,0,18P 8S 10B<br>0ER 1H,15P 7S 8B<br>1ER 1H,0,0,0,18P 10S 8B<br>0ER 0H,0,7P 3S 4B<br>0ER 1H,0,71
MOC,Miguel Vazquez,0,0,6P 4S 2B<br>0ER 1H,0,0,8P 6S 2B<br>0ER 0H,0,12P 8S 4B<br>0ER 0H,0,17P 9S 8B<br>1ER 1H,0,28P 15S 13B<br>2ER 2H,71
JAL,Mario Meza,0,0,14P 11S 3B<br>0ER 0H,0,6P 5S 1B<br>0ER 0H,0,0,16P 6S 10B<br>1ER 1H,0,15P 9S 6B<br>0ER 0H,0,19P 14S 5B<br>0ER 0H,70
MTY,Nestor Anguamea,0,0,17P 9S 8B<br>0ER 0H,0,0,11P 3S 8B<br>0ER 1H,0,0,7P 4S 3B<br>0ER 0H,14P 9S 5B<br>0ER 1H,0,21P 12S 9B<br>0ER 2H,70
HER,Fernando Salas,12P 6S 6B<br>0ER 1H,0,0,0,11P 6S 5B<br>0ER 0H,0,0,0,18P 10S 8B<br>3ER 5H,7P 6S 1B<br>0ER 0H,7P 5S 2B<br>0ER 1H,15P 13S 2B<br>0ER 2H,70
NAV,Jorge Sauceda,0,18P 14S 4B<br>0ER 1H,0,0,0,23P 15S 8B<br>2ER 2H,0,0,22P 9S 13B<br>2ER 2H,0,6P 4S 2B<br>0ER 1H,0,69
GSV,Carlos Morales,0,12P 6S 6B<br>0ER 1H,0,0,25P 17S 8B<br>1ER 1H,0,0,0,0,32P 19S 13B<br>0ER 2H,0,0,69
MXC,Eli Villalobos,2P 1S 1B<br>0ER 1H,0,8P 6S 2B<br>0ER 0H,1P 1S 0B<br>0ER 0H,0,20P 12S 8B<br>0ER 1H,0,0,11P 8S 3B<br>0ER 0H,9P 6S 3B<br>1ER 2H,0,17P 8S 9B<br>0ER 0H,68
MOC,DJ Johnson,0,13P 6S 7B<br>2ER 3H,0,0,14P 7S 7B<br>0ER 0H,0,15P 10S 5B<br>0ER 0H,0,9P 7S 2B<br>0ER 0H,0,17P 10S 7B<br>0ER 0H,0,68
CUL,David Gutierrez,0,14P 10S 4B<br>0ER 0H,14P 10S 4B<br>0ER 1H,0,0,3P 3S 0B<br>0ER 0H,0,19P 16S 3B<br>2ER 4H,0,0,6P 4S 2B<br>0ER 0H,11P 8S 3B<br>0ER 0H,67
MXC,Jake Sanchez,0,0,17P 11S 6B<br>0ER 1H,13P 8S 5B<br>1ER 2H,0,0,0,20P 12S 8B<br>0ER 0H,17P 11S 6B<br>0ER 0H,0,0,0,67
MTY,Alexis Vera,0,0,0,13P 9S 4B<br>1ER 2H,0,0,0,0,15P 8S 7B<br>0ER 0H,19P 11S 8B<br>1ER 1H,19P 12S 7B<br>0ER 2H,0,66
MTY,Arturo Roque,0,0,0,0,0,37P 21S 16B<br>1ER 2H,0,0,0,0,0,28P 15S 13B<br>1ER 2H,65
GSV,Juan Cossio,0,0,0,0,0,19P 15S 4B<br>0ER 1H,0,0,0,18P 15S 3B<br>0ER 1H,0,27P 15S 12B<br>0ER 0H,64
JAL,Alberto Leyva,0,13P 8S 5B<br>2ER 4H,0,0,0,19P 10S 9B<br>0ER 1H,0,0,18P 10S 8B<br>0ER 0H,0,13P 5S 8B<br>0ER 0H,0,63
GSV,Dan Kubiuk,0,0,22P 15S 7B<br>0ER 1H,0,14P 9S 5B<br>0ER 1H,0,0,0,8P 7S 1B<br>0ER 0H,0,0,16P 9S 7B<br>1ER 2H,60
OBR,Ulises Lopez,0,0,0,0,0,0,0,24P 15S 9B<br>0ER 0H,0,36P 23S 13B<br>0ER 2H,0,0,60
MXC,Clayton Andrews,9P 5S 4B<br>0ER 0H,0,0,3P 3S 0B<br>0ER 0H,5P 3S 2B<br>0ER 0H,0,0,0,0,17P 10S 7B<br>3ER 2H,0,26P 14S 12B<br>0ER 0H,60
MAZ,Daniel Cruz,0,21P 12S 9B<br>3ER 2H,5P 3S 2B<br>0ER 0H,0,4P 2S 2B<br>0ER 0H,0,9P 8S 1B<br>1ER 2H,0,0,20P 12S 8B<br>0ER 2H,0,0,59
GSV,Jesus Huerta,0,0,32P 16S 16B<br>0ER 1H,0,0,0,26P 19S 7B<br>1ER 2H,0,0,0,0,0,58
MOC,Lupe Chavez,0,0,0,0,0,0,36P 27S 9B<br>0ER 3H,0,0,22P 13S 9B<br>3ER 3H,0,0,58
GSV,Jesus Broca,0,0,20P 10S 10B<br>0ER 1H,0,3P 1S 2B<br>0ER 0H,0,24P 14S 10B<br>0ER 2H,0,0,0,10P 6S 4B<br>0ER 0H,0,57
MAZ,Erick Casillas,0,11P 8S 3B<br>0ER 0H,13P 8S 5B<br>0ER 0H,0,0,10P 8S 2B<br>0ER 0H,0,0,3P 3S 0B<br>0ER 1H,3P 3S 0B<br>0ER 1H,0,16P 7S 9B<br>0ER 1H,56
JAL,Ivan Zavala,0,0,0,0,0,16P 8S 8B<br>0ER 0H,0,0,0,0,40P 22S 18B<br>0ER 0H,0,56
CUL,Efrain Contreras,0,0,18P 13S 5B<br>1ER 2H,0,0,0,9P 5S 4B<br>0ER 0H,0,15P 8S 7B<br>1ER 2H,0,14P 10S 4B<br>0ER 1H,0,56
CUL,CD Pelham,0,13P 8S 5B<br>0ER 1H,0,0,0,10P 3S 7B<br>0ER 1H,0,4P 2S 2B<br>0ER 0H,8P 6S 2B<br>2ER 1H,0,5P 3S 2B<br>0ER 0H,15P 9S 6B<br>0ER 0H,55
GSV,Rafael Cordova,0,0,11P 9S 2B<br>0ER 0H,0,2P 1S 1B<br>0ER 1H,14P 10S 4B<br>0ER 1H,0,0,19P 11S 8B<br>0ER 1H,0,7P 4S 3B<br>0ER 0H,0,53
MOC,Tomas Solis,0,1P 1S 0B<br>0ER 0H,4P 2S 2B<br>0ER 0H,0,0,0,10P 6S 4B<br>0ER 0H,13P 6S 7B<br>0ER 1H,8P 5S 3B<br>0ER 0H,0,0,16P 10S 6B<br>0ER 0H,52
MXC,Mario Jimenez,18P 13S 5B<br>0ER 0H,0,0,0,7P 4S 3B<br>0ER 1H,0,0,0,0,18P 11S 7B<br>0ER 2H,0,9P 3S 6B<br>1ER 0H,52
CUL,Ricardo Estrada,0,0,0,0,21P 14S 7B<br>0ER 1H,0,17P 8S 9B<br>0ER 0H,0,0,0,5P 3S 2B<br>0ER 0H,7P 5S 2B<br>0ER 1H,50
JAL,Miguel Aguilar,0,0,0,0,12P 9S 3B<br>0ER 1H,0,10P 6S 4B<br>0ER 0H,19P 12S 7B<br>0ER 0H,0,9P 5S 4B<br>0ER 0H,0,0,50
OBR,Samuel Zazueta,0,17P 10S 7B<br>0ER 0H,0,0,0,0,11P 5S 6B<br>0ER 0H,0,9P 5S 4B<br>0ER 0H,0,0,13P 8S 5B<br>0ER 2H,50
JAL,Edgar Manzo,0,24P 15S 9B<br>2ER 3H,0,0,0,23P 13S 10B<br>1ER 1H,2P 1S 1B<br>1ER 1H,0,0,0,0,0,49
CUL,Ruben Reyes,0,0,11P 5S 6B<br>0ER 0H,0,21P 13S 8B<br>1ER 0H,0,17P 12S 5B<br>0ER 2H,0,0,0,0,0,49
JAL,Adrian Gusman,0,0,16P 11S 5B<br>0ER 0H,0,0,0,25P 17S 8B<br>0ER 1H,0,8P 6S 2B<br>0ER 0H,0,0,0,49
NAV,Jonathan Partida,0,10P 6S 4B<br>0ER 0H,10P 7S 3B<br>1ER 1H,0,0,0,0,0,11P 6S 5B<br>0ER 1H,6P 5S 1B<br>0ER 0H,6P 2S 4B<br>0ER 0H,5P 3S 2B<br>0ER 0H,48
NAV,Edwyn Valle,0,13P 8S 5B<br>0ER 0H,7P 5S 2B<br>1ER 1H,0,0,9P 6S 3B<br>0ER 0H,0,0,7P 5S 2B<br>0ER 0H,0,12P 10S 2B<br>0ER 0H,0,48
MAZ,Alex Speas,0,11P 7S 4B<br>0ER 0H,14P 8S 6B<br>0ER 0H,0,0,18P 8S 10B<br>3ER 1H,0,0,0,0,0,0P 0S 0B<br>0ER 2H,43
MTY,Nathanael Santiago,0,0,19P 11S 8B<br>0ER 1H,0,0,0,0,0,15P 7S 8B<br>0ER 1H,0,8P 3S 5B<br>0ER 0H,0,42
HER,Raul Barron,18P 11S 7B<br>1ER 1H,0,0,0,0,0,11P 7S 4B<br>0ER 1H,0,9P 7S 2B<br>0ER 0H,0,4P 3S 1B<br>0ER 0H,0,42
NAV,Jose Carlos Medina,0,0,0,0,0,0,0,0,38P 23S 15B<br>0ER 2H,0,3P 1S 2B<br>0ER 0H,0,41
HER,Saul Arias,0,14P 9S 5B<br>0ER 1H,0,0,0,27P 15S 12B<br>2ER 2H,0,0,0,0,0,0,41
MAZ,Hector Villalobos,0,0,0,0,0,3P 1S 2B<br>0ER 0H,0,0,0,0,18P 12S 6B<br>0ER 1H,19P 15S 4B<br>0ER 0H,40
MXC,Angel Lopez,0,0,0,0,4P 3S 1B<br>0ER 0H,0,0,0,0,19P 13S 6B<br>0ER 0H,17P 13S 4B<br>1ER 2H,0,40
MOC,Jose Luna,0,0,0,0,7P 3S 4B<br>0ER 0H,0,18P 13S 5B<br>0ER 0H,0,9P 4S 5B<br>0ER 0H,0,0,6P 2S 4B<br>0ER 0H,40
MOC,Nick Struck,0,10P 7S 3B<br>0ER 0H,14P 9S 5B<br>3ER 3H,0,13P 4S 9B<br>0ER 1H,0,0,0,0,0,0,0,37
JAL,Dario Gardea,0,0,0,0,0,10P 7S 3B<br>0ER 1H,12P 6S 6B<br>0ER 2H,0,15P 9S 6B<br>0ER 0H,0,0,0,37
NAV,Denny Roman,0,0,0,0,0,20P 15S 5B<br>0ER 1H,0,0,0,"2P 1S 1B<br>0ER 0H

5P 1S 4B<br>0ER 0H",8P 4S 4B<br>1ER 1H,2P 2S 0B<br>0ER 0H,37
MAZ,Victor Morales,0,0,10P 7S 3B<br>0ER 0H,0,0,20P 11S 9B<br>0ER 0H,0,0,0,0,7P 5S 2B<br>0ER 0H,0,37
MOC,Jonas Garibay,0,0,0,0,0,0,21P 13S 8B<br>0ER 1H,0,0,16P 12S 4B<br>1ER 2H,0,0,37
GSV,Jeff Ibarra,0,9P 6S 3B<br>0ER 0H,0,0,14P 9S 5B<br>0ER 0H,0,0,0,0,0,10P 5S 5B<br>0ER 1H,3P 2S 1B<br>0ER 2H,36
MOC,Adrian Hernandez,0,0,8P 6S 2B<br>0ER 1H,0,0,16P 10S 6B<br>0ER 0H,0,11P 5S 6B<br>2ER 2H,0,0,0,0,35
NAV,Damian Mendoza,0,0,0,0,0,0,0,0,0,34P 20S 14B<br>0ER 1H,0,0,34
MAZ,Andres Ivan Meza,0,0,0,0,0,0,13P 9S 4B<br>0ER 0H,0,15P 10S 5B<br>0ER 2H,5P 3S 2B<br>1ER 1H,0,0,33
JAL,Antonio Garzon,0,0,0,0,3P 2S 1B<br>2ER 2H,0,0,0,9P 4S 5B<br>0ER 0H,10P 5S 5B<br>0ER 0H,9P 5S 4B<br>0ER 0H,0,31
HER,Curtis Taylor,30P 17S 13B<br>0ER 1H,0,0,0,0,0,0,0,0,0,0,0,30
HER,Augusto Mendieta,0,0,0,0,0,30P 17S 13B<br>1ER 3H,0,0,0,0,0,0,30
MAZ,Alejandro Soto,0,0,0,0,16P 9S 7B<br>0ER 0H,0,0,0,0,0,14P 7S 7B<br>0ER 0H,0,30
MOC,Frank Moscatiello,0,0,0,0,0,0,14P 2S 12B<br>1ER 0H,0,0,15P 7S 8B<br>0ER 0H,0,0,29
GSV,Oscar Rojas,0,0,0,0,0,0,29P 15S 14B<br>2ER 2H,0,0,0,0,0,29
MAZ,Amilcar Gaxiola,0,0,0,0,10P 7S 3B<br>0ER 0H,0,19P 11S 8B<br>0ER 0H,0,0,0,0,0,29
HER,Javier Rodriguez,0,0,0,0,0,28P 15S 13B<br>0ER 2H,0,0,0,0,0,0,28
MOC,Vicente Valenzuela,0,0,0,0,0,0,0,28P 18S 10B<br>0ER 2H,0,0,0,0,28
OBR,Ruben Salinas,14P 9S 5B<br>0ER 2H,0,0,0,0,0,0,11P 5S 6B<br>0ER 0H,0,2P 1S 1B<br>0ER 0H,0,1P 1S 0B<br>0ER 0H,28
HER,Ozzie Mendez,0,0,0,0,0,0,21P 15S 6B<br>1ER 2H,0,0,2P 1S 1B<br>0ER 0H,3P 2S 1B<br>0ER 0H,0,26
HER,Orlando Gonzalez,0,0,0,0,15P 10S 5B<br>2ER 3H,0,0,0,0,0,10P 5S 5B<br>1ER 2H,0,25
OBR,Yuhi Sako,0,0,0,0,25P 18S 7B<br>1ER 3H,0,0,0,0,0,0,0,25
MAZ,Jovany Lopez,0,0,0,0,0,0,12P 6S 6B<br>1ER 0H,0,0,0,13P 8S 5B<br>2ER 3H,0,25
JAL,Alejandro Morales,0,0,0,0,0,0,0,0,0,0,24P 15S 9B<br>0ER 1H,0,24
MXC,Patricio Ress,0,0,0,0,0,0,0,0,0,9P 6S 3B<br>0ER 1H,0,13P 8S 5B<br>1ER 2H,22
MTY,Carlos De Leon,0,0,0,0,0,0,0,0,0,0,0,21P 16S 5B<br>2ER 3H,21
CUL,Carlos Machorro,0,0,0,0,0,0,9P 6S 3B<br>0ER 1H,0,12P 7S 5B<br>0ER 0H,0,0,0,21
MXC,Jose Luis Reyes,0,0,0,0,20P 10S 10B<br>3ER 3H,0,0,0,0,0,0,0,20
OBR,Ernesto Zaragoza,0,0,0,0,0,0,11P 7S 4B<br>0ER 0H,0,0,0,0,8P 6S 2B<br>0ER 2H,19
CUL,Axel Sauceda,0,0,0,0,19P 14S 5B<br>1ER 2H,0,0,0,0,0,0,0,19
MTY,Ivan Salas,8P 3S 5B<br>0ER 0H,0,0,0,0,0,0,0,0,0,1P 1S 0B<br>0ER 0H,8P 6S 2B<br>0ER 2H,17
MAZ,Alexandro Tovalin,0,0,0,0,0,0,0,0,0,0,7P 5S 2B<br>0ER 1H,10P 5S 5B<br>2ER 0H,17
CUL,Roel Ramírez,0,1P 1S 0B<br>0ER 0H,16P 10S 6B<br>2ER 3H,0,0,0,0,0,0,0,0,0,17
CUL,Jose Bravo,0,0,0,0,0,0,0,0,0,0,16P 10S 6B<br>1ER 2H,0,16
OBR,Saul Vazquez,0,16P 8S 8B<br>0ER 0H,0,0,0,0,0,0,0,0,0,0,16
MXC,Daniel Cruz,0,0,0,0,0,0,0,0,0,0,0,16P 10S 6B<br>1ER 1H,16
MXC,Pedro Santillan,7P 5S 2B<br>0ER 1H,0,0,0,8P 3S 5B<br>2ER 1H,0,0,0,0,0,0,0,15
HER,Enrique Castillo,0,15P 7S 8B<br>0ER 1H,0,0,0,0,0,0,0,0,0,0,15
MAZ,Ernesto Borges,0,0,0,0,15P 6S 9B<br>0ER 0H,0,0,0,0,0,0,0,15
MTY,Cristian Castillo,0,0,0,0,0,15P 9S 6B<br>2ER 1H,0,0,0,0,0,0,15
CUL,Luis Aguayo,0,0,0,0,0,0,0,0,0,14P 11S 3B<br>0ER 1H,0,0,14
JAL,Aldo Ramirez,0,13P 4S 9B<br>2ER 1H,0,0,0,0,0,0,0,0,0,0,13
HER,Anibal Cervantes,0,0,0,0,0,13P 9S 4B<br>5ER 5H,0,0,0,0,0,0,13
GSV,Peyton Gray,0,0,0,0,0,0,0,0,10P 3S 7B<br>0ER 0H,0,0,0,10
MTY,Francisco Rios,0,0,0,0,0,0,0,0,0,0,0,9P 4S 5B<br>0ER 0H,9
HER,Jorge Rodriguez,0,6P 4S 2B<br>0ER 0H,0,0,0,0,0,0,0,0,0,0,6
GSV,Edwin Cervantes,0,0,0,0,0,0,0,0,0,0,0,4P 2S 2B<br>0ER 0H,4
GSV,Kevin Ribon,0,0,0,0,0,0,0,0,0,0,0,3P 2S 1B<br>0ER 0H,3
GSV,Ian Medina,0,0,0,0,0,2P 2S 0B<br>0ER 0H,0,0,0,0,0,0,2
